rank,artist,title,song_id,play_count
147,Bon Iver,Skinny Love,SOTKYBW12A8C13C3EA,49649
148,Jack Johnson,Bubble Toes,SOSPXWA12AB0181875,49597
149,Another Sunny Day,Rio,SOTUARP12A8C13CB54,49126
150,Justin Bieber,That Should Be Me,SOIDDNJ12AC9071B90,49119
151,Two Door Cinema Club,What You Know,SONEWAX12AB018DD3F,49030
152,Old 97's,Victoria (LP Version),SOSJSSU12A6D4F8F41,48893
153,Leona Lewis,Forgive Me,SOMNTMT12A8C1400F6,48575
154,Reality Check,Masquerade (Reality Check Album Version),SOYABSZ12A81C1FEAC,48393
155,Florence + The Machine,Rabbit Heart (Raise It Up),SOOWVNN12A8C140775,48042
156,David Bowie,Sorrow (1997 Digital Remaster),SODCNEE12A6310E037,47785
157,LU,Una Confusion,SOWGCMN12A8C136E44,47603
158,Justin Timberlake,What Goes Around...Comes Around,SOMYXWV12A8C14232E,47453
159,Johnny Winter,It's My Own Fault,SOHTCVN12A8C134E46,47210
160,Radiohead,Karma Police,SOHJOLH12A6310DFE5,46809
161,Linkin Park,What I've Done (Album Version),SOJKQSF12A6D4F5EE9,45817
162,The Lonely Island / T-Pain,I'm On A Boat,SOPREHY12AB01815F9,45575
163,Adam Lambert,Whataya Want From Me,SODCADR12AF72A1A99,45558
164,Eminem / Dina Rae,Superman,SOHEMBB12A6701E907,45328
165,Aerosmith,Dream On,SOWRTJD12A8C132704,45199
166,Pearl Jam,Black,SOIBLKQ12AB0183E85,45151
167,Muse,Resistance,SOXAQJS12AB018CBF7,44340
168,Eminem / Nate Dogg,'Till I Collapse,SOBPKPW12A6701E8F9,44305
169,Mickie Krause,Orange Trägt Nur Die Müllabfuhr (Go West),SONHLJN12A81C2169B,44250
170,The String Cheese Incident,Bigger Isn't Better,SOWSPUS12AC468BEE3,43748
171,Vampire Weekend,A-Punk (Album),SOGTDJQ12A8C13324F,43640
172,Erin Bode,Here_ There And Everywhere,SOPBFHP12A8C131F30,43298
173,Jack Johnson,Do You Remember,SOKUTUM12A6701D9CD,43280
174,Yeah Yeah Yeahs,Heads Will Roll,SOYMIMI12AB0181E5C,43255
175,Coldplay,Shiver,SOSVPIE12A6D4FA873,43055
176,Pandora's Box,The Want Ad,SOGLWGG12A6D4F8046,42819
177,Britney Spears,Toxic,SOUSZSW12AB01800C2,42692
178,Jack Johnson,Times Like These,SOERYLG12A6701F07F,42634
179,Sheryl Crow,Picture,SOHFGKG12A6701C429,42563
180,LMFAO / Lil Jon,Shots,SOJYBJZ12AB01801D0,42429
181,Foo Fighters,Everlong,SOXVVSM12A8C142224,42427
182,Five Finger Death Punch,Bad Company,SOYGHUM12AB018139C,42348
183,Metric,Help I'm Alive,SOEOJHS12AB017F3DC,42230
184,matchbox twenty,Unwell (Album Version),SOIOESO12A6D4F621D,42183
185,Lynyrd Skynyrd,Sweet home Alabama,SOVQJRY12A81C210C0,42059
186,Foo Fighters,The Pretender,SOQLUTQ12A8AE48037,42054
187,Charlie Louvin,I Think I'll Live,SOPABZM12A6D4FC668,42022
188,Nickelback,Far Away (Album Version),SOFVZRE12A8C139783,41827
189,Asia 2001,Epilogue,SOUFWEW12AB0180EB7,41816
190,Coldplay,Speed Of Sound,SOUKJBT12A6701C4D6,41493
191,Restiform Bodies,Interactive Halloween Bear,SOKENKR12AB01828F7,41471
192,Coldplay,In My Place,SOMRYYN12A6310F0F3,41433
193,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),SOEHWGF12A6D4F8B2B,41301
194,Black Eyed Peas,Pump It,SOMEUED12A6701DBEA,41243
195,Queen,Under Pressure,SOZYSDT12A8C13BFD7,40935
196,The Gerbils,(iii),SOMBGAL12AB0181F7F,40772
197,Linkin Park,Crawling (Album Version),SOEKSGJ12A67AE227E,40739
198,O'Rosko Raricim,Terre Promise,SOHRQFL12A6D4F3C8A,40679
199,Rihanna,Te Amo,SOHZPIK12A58A7CCAE,40660
200,Justin Timberlake,Cry Me A River,SOYAIPB12A8C143D84,40572
201,Taylor Swift,Our Song,SOUVGJL12AB017FC35,40506
202,The Black Keys,Howlin For You,SOVRTPN12AB0184F9E,40487
203,Guns N' Roses,Don't Cry (Original),SOAMIQK12A6701D94F,40480
204,Rihanna,Don't Stop The Music,SOKUAGP12A8C133B94,40170
205,Florence + The Machine,I'm Not Calling You A Liar,SOILFUU12AB017C75F,40082
206,Tiny Vipers,They Might Follow You,SOBUBLL12A58A795A8,40072
207,Young Money featuring Lloyd,BedRock (Radio Edit) (feat.Lloyd),SOTWCDE12AB018909C,39976
208,Justin Bieber,One Less Lonely Girl,SOWCBKV12AC90732A6,39778
209,A Day To Remember,If It Means A Lot To You,SORBBFV12AB017D710,39775
210,59 Times the Pain,Found Home,SOQBMFK12A8C13835B,39503
211,Death Cab for Cutie,I Will Follow You into the Dark (Album Version),SOOYDAZ12A58A7AE08,39465
212,Jag Panzer,Reign Of The Tyrants,SOIMTII12A6D4F662A,39226
213,Gang Starr/Inspectah Deck,Above The Clouds (Edited),SOOEGCA12A6D4F8B80,39140
214,Alejandro Sanz,Non E_ Per Te_ Per Me,SOHYLXU12A8C139492,38985
215,Ry Cooder,Corrido de Boxeo,SOAOSDF12A58A779F1,38773
216,Diam's,Dans Ma Bulle (Edit Radio - Live 2006),SOHWXEU12A8C1320D1,38731
217,Disturbed,Numb (Album Version),SOTVLHC12A6701EA31,38639
218,Amy Winehouse,You Know I'm No Good,SOLZEED12A6D4FA8C9,38577
219,Radney Foster,Sweet And Wild,SODEGIQ12A6D4FC6E3,38515
220,Survivor,Eye Of The Tiger,SOLCKAS12A8C14242A,38371
221,The Velvet Underground / Nico,All Tomorrow's Parties,SOCNLEI12A67021565,38273
222,Enigma,Knocking On Forbidden Doors,SOAOAHZ12A8C13AAF1,38132
223,Lady GaGa,Monster,SOEYVHS12AB0181D31,37957
224,Sonny Boy Williamson,Don't Start Me Talkin',SOCHTHF12AB017E206,37942
225,Nirvana,Come As You Are,SODEOCO12A6701E922,37653
226,Franz Ferdinand,Take Me Out,SOXKOIY12A8C13C1EA,37541
227,Cameo,Word Up!,SOXZOMB12AB017DA15,37341
228,Enrique Iglesias,Hero,SOYGHOJ12A6701FFBA,37332
229,Shaggy / Samantha Cole,Luv Me_ Luv Me,SOJYISZ12A8C135F5A,37302
230,Metallica / Marianne Faithfull,The Memory Remains,SOFGIVB12A6D4F5923,37283
231,Eminem,My Name Is,SOOLULU12A6701FBC4,37130
232,Cat Stevens,Wild World,SOQGOPT12AAF3B2B27,37110
233,Alicia Keys,If I Ain't Got You,SORALYQ12A8151BA99,36969
234,Green Day,American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version),SODEAWL12AB0187032,36675
235,Line Renaud,Le Soir,SOPTPWD12A6D4FBD4E,36423
236,Cliff Richard & The Shadows,Nine Times Out Of Ten (1998 Digital Remaster),SOBMKJU12A6D4F7128,36035
237,Maná,Rayando el sol,SONGIPI12A8AE46162,35925
238,Daft Punk,Around The World (Radio Edit),SOIMCDE12A6D4F8383,35885
239,Metallica,Ride The Lightning,SOITRTA12A6D4F8261,35713
240,Cartola,Sala De Recepção,SOXPDDQ12A58A76829,35629
241,My Chemical Romance,Welcome To The Black Parade (Album Version),SOQQAAQ12A67ADE34D,35603
242,The Killers,Human,SOPEOGA12AB017B694,35453
243,New Radicals,You Get What You Give,SONZWDK12A6701F62B,35408
244,Benny Benassi Presents The Biz,Satisfaction,SOITFCH12A6D4F9478,35404
245,Godsmack,Speak,SOHALKJ12AB017FCC2,35380
246,Triple Six Mafia,Now I'm High_ Really High,SOAVFLR12A8C138576,35253
247,The Red Jumpsuit Apparatus,Face Down (Album Version),SOOLYZQ12A6D4FA5B7,35245
248,Linkin Park,New Divide (Album Version),SOPSYOY12A8C142E0B,35191
249,Selena Gomez & The Scene,Naturally,SOBWSGV12AB018B5E0,35074
250,Creedence Clearwater Revival,Have You Ever Seen The Rain,SOKKKZW12A6D4F7F88,34831
