rank,genre,artist,title,song_id,play_count
69,Rock,Uncle Kracker,Follow Me (Explicit LP Version),SOTLHUV12A6D4FC541,33451
70,Rock,The Black Keys,All Hands Against His Own,SONGYFE12AB018562D,33178
71,Rock,Incubus,Drive,SOUKXIN12A8C133C7F,32990
72,Rock,The Verve,Lord I Guess I'll Never Know,SOIKQFR12A6310F2A6,32968
73,Rock,Radiohead,(Nice Dream),SOQQQMM12A6310DFCC,32962
74,Rock,Buckcherry,Crazy Bitch (Album Version),SORWLJM12A6D4F9C0C,32933
75,Rock,Deep Blue Something,Breakfast At Tiffany's,SOAYATB12A6701FD50,32507
76,Rock,Cake,Frank Sinatra,SOWUTFF12A8C138AB2,32199
77,Rock,Pixies,Where Is My Mind?,SOBBKGF12A8C1311EE,32185
78,Rock,The Killers,Read My Mind,SOTEKMT12A67AD954E,31708
79,Rock,Cage The Elephant,Back Against The Wall,SOABJBU12A8C13F63F,31418
80,Rock,Foo Fighters,Learn To Fly,SODACBL12A8C13C273,31174
81,Rock,Kix,Girl Money,SOCHWPT12AB0184F15,30503
82,Rock,Metallica,One,SOZDGEW12A8C13E748,30485
83,Rock,Nine Inch Nails,Wish,SOMORYX12B0B80908A,30371
84,Rock,Metallica,Enter Sandman,SOCHYVZ12A6D4F5908,30202
85,Rock,Days Of The New,Provider,SOPGYCQ12A6D4FB4DC,30146
86,Rock,Hollywood Undead,Everywhere I Go,SOKVZHI12A58A7A13E,30030
87,Rock,Phoenix,Lasso,SOZVUCT12A8C1424BE,29884
88,Rock,The Rolling Stones,Angie (1993 Digital Remaster),SONQBUB12A6D4F8ED0,29754
89,Rock,London After Midnight,Demon,SOOSCPN12AB0186AF2,29614
90,Rock,Feist,My Moon My Man,SOAJAFJ12A58A7B75A,29084
91,Rock,Days Of The New,Where I Stand,SOHIWSV12A67020042,29016
92,Rock,Drowning Pool,Bodies,SOMAKIT12A58A7E292,28596
93,Rock,Aerosmith,Crazy,SOHTQAS12A6701C7BA,28573
94,Rock,Florence + The Machine,My Boy Builds Coffins,SOUCPBK12A58A7881A,28534
95,Rock,The Black Keys,I'll Be Your Man,SOLLDVS12AB0183835,28413
96,Rock,Metric,Gold Guns Girls,SOUOPLF12AB017F40F,28148
97,Rock,Pearl Jam,Encore Break,SOVMADB12A8C137B96,27579
98,Rock,Daughtry,No Surprise,SORMLZF12A8C143FFA,27187
99,Rock,Eric Clapton,Tears In Heaven,SOSLZXV12A8C1354C9,26999
100,Rock,Nick Lowe,All Men Are Liars,SOLPVAQ12AB017EB35,26683
